data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-04-24 11:11:03.836520;19;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Larry Neeley;masculino;pix
2024-04-24 12:42:06.213631;20;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Michelle Rinehart;feminino;dinheiro
2024-04-24 12:43:04.153264;21;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Robert Grable;masculino;dinheiro
2024-04-24 13:52:59.285624;22;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Jodie Pretti;feminino;dinheiro
2024-04-24 15:06:02.742329;23;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Thomas Levesque;masculino;boleto
2024-04-24 15:33:55.473654;24;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Chet Stein;masculino;cartão de crédito
2024-04-24 17:51:00.349540;25;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Joseph Gonzales;masculino;cartão de crédito
2024-04-24 18:27:02.985934;26;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Maris Thompson;feminino;dinheiro
2024-04-24 20:42:04.868474;27;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Bryant Brown;masculino;cartão de crédito
2024-04-25 14:37:00.611179;28;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Brittney Fishburn;feminino;boleto
2024-04-25 18:45:00.606008;29;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Stephanie Plummer;feminino;cartão de crédito
2024-04-25 21:10:55.112769;30;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Loretta Lopez;feminino;cartão de crédito
2024-04-25 22:04:54.527951;31;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Helen Smith;feminino;cartão de crédito
2024-04-26 11:09:58.524540;32;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Linda Mcnamara;feminino;boleto
2024-04-26 14:24:58.805035;33;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Bert Beals;masculino;dinheiro
2024-04-26 16:03:57.204480;34;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Margaret Miller;feminino;pix
2024-04-26 16:33:56.994932;35;Florianópolis;Tiago Lima;Smartwatch Garmin;Pam Aste;feminino;pix
2024-04-26 18:22:54.778345;36;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Juana Murawski;feminino;cartão de crédito
2024-04-27 11:09:57.047726;37;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Brenna Cherry;feminino;pix
2024-04-27 11:43:57.975448;38;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Jennifer Niederberger;feminino;pix
2024-04-27 12:05:59.687825;39;Florianópolis;Tiago Lima;Fone de Ouvido Sony;William Chavis;masculino;pix
2024-04-27 12:39:57.197899;40;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Lisa Martines;feminino;cartão de crédito
2024-04-27 12:49:55.734494;41;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Sarah Lekwa;feminino;pix
2024-04-27 15:05:59.673639;42;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Tony Quinn;masculino;boleto
2024-04-27 15:20:04.520888;43;São Paulo;Lucas Pereira;Smartwatch Garmin;Otis Corona;masculino;cartão de crédito
2024-04-27 16:21:56.006508;44;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Mindy Jones;feminino;pix
2024-04-27 16:51:56.218067;45;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Lloyd Johnson;masculino;boleto
2024-04-27 17:01:56.926463;46;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Easter Styles;feminino;dinheiro
2024-04-27 19:19:57.333048;47;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Elizabeth Harvey;feminino;dinheiro
2024-04-27 21:02:00.322894;48;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Anna Schupbach;feminino;pix
2024-04-28 11:30:57.589177;49;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Leonard King;masculino;dinheiro
2024-04-28 11:49:55.807327;50;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Debra Harbison;feminino;cartão de crédito
2024-04-28 11:56:02.323812;51;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Deborah Bess;feminino;cartão de crédito
2024-04-28 12:49:56.008923;52;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Frederick Laws;masculino;boleto
2024-04-28 16:29:02.905794;53;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Beatrice Overbey;feminino;boleto
2024-04-28 17:56:00.589009;54;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Cheri Guerrero;feminino;boleto
2024-04-28 21:47:02.371386;55;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Tommy Brown;feminino;cartão de crédito
2024-04-28 21:52:01.552491;56;Florianópolis;Gabriela Santos;Smartwatch Garmin;Theresa Whitley;feminino;pix
2024-04-29 11:40:01.629944;57;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;David Aguilar;masculino;dinheiro
2024-04-29 16:06:55.785271;58;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Susan Orta;feminino;boleto
2024-04-29 16:57:03.073631;59;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;David Bennett;masculino;boleto
2024-04-29 18:51:57.615205;60;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Paul Henderson;masculino;cartão de crédito
2024-04-30 12:08:05.105342;61;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Eleanor Gurry;feminino;dinheiro
2024-04-30 13:10:56.588416;62;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Lula Rivera;feminino;pix
2024-04-30 15:36:02.188980;63;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Peggy Andrade;feminino;cartão de crédito
2024-04-30 15:54:05.488172;64;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Mabel Hampton;feminino;cartão de crédito
2024-04-30 16:24:59.127905;65;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Richard Cancel;masculino;cartão de crédito
2024-04-30 17:36:02.017176;66;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Joe Simon;masculino;cartão de crédito
2024-04-30 20:10:02.887510;67;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;George Merrigan;masculino;boleto
2024-05-01 11:41:05.528047;68;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Son Blake;feminino;dinheiro
2024-05-01 13:42:57.049030;69;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Danielle Calfee;feminino;boleto
2024-05-01 16:59:03.805983;70;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Joann Noel;feminino;dinheiro
2024-05-01 18:01:56.889658;71;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Syble Eddinger;feminino;boleto
2024-05-01 19:37:59.216637;72;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Joseph Morris;masculino;pix
2024-05-01 22:04:58.728744;73;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Bernice Burgess;feminino;pix
2024-05-02 11:53:59.135706;74;Florianópolis;Tiago Lima;Smartwatch Garmin;Glenda Mathis;feminino;boleto
2024-05-02 12:14:05.196754;75;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Lonnie Williams;masculino;boleto
2024-05-02 13:32:55.120984;76;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Philip Riggle;masculino;boleto
2024-05-02 15:02:03.565786;77;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Jose Harris;masculino;pix
2024-05-02 15:37:01.642198;78;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Isidra Felix;feminino;pix
2024-05-02 15:38:58.022687;79;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Shelly Ware;feminino;pix
2024-05-02 18:04:03.882429;80;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Vincent Mccoy;masculino;cartão de crédito
2024-05-03 14:05:55.884340;81;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Peter Milan;masculino;boleto
2024-05-03 17:14:56.083489;82;São Paulo;Ana Oliveira;Tablet Apple Ipad;Michael Gutierrez;masculino;cartão de crédito
2024-05-03 21:27:58.555415;83;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Jeffrey May;masculino;pix
2024-05-03 21:58:56.527598;84;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Kanisha Minier;feminino;cartão de crédito
2024-05-04 16:07:57.031309;85;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Darrick Jenkins;masculino;pix
2024-05-04 17:25:02.825609;86;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Jennifer Sallie;feminino;pix
2024-05-04 18:16:54.803540;87;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;William Dolney;masculino;cartão de crédito
2024-05-04 20:06:55.468338;88;São Paulo;Ana Oliveira;Smartwatch Garmin;Sherry Eason;feminino;boleto
2024-05-04 21:37:59.689722;89;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Stephen Razo;masculino;cartão de crédito
2024-05-05 11:10:55.235584;90;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Lauren Carlsen;feminino;dinheiro
2024-05-06 11:17:05.492633;91;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Maureen Clifford;feminino;cartão de crédito
2024-05-06 14:18:56.677147;92;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Leisha Schumacher;feminino;pix
2024-05-06 15:47:03.729448;93;São Paulo;Lucas Pereira;Smartwatch Garmin;Donna Davis;feminino;pix
2024-05-06 16:03:02.234695;94;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Derrick Sewell;masculino;cartão de crédito
2024-05-06 20:55:05.512855;95;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Darius Davey;masculino;boleto
2024-05-07 11:10:55.843538;96;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Ruth Morgan;feminino;pix
2024-05-07 12:59:02.619078;97;São Paulo;Ana Oliveira;Tablet Apple Ipad;David Melville;masculino;pix
2024-05-07 16:12:03.956153;98;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Jewell Prescott;feminino;pix
2024-05-08 13:00:01.641843;99;Florianópolis;Tiago Lima;Smartwatch Garmin;Brett Collins;masculino;boleto
2024-05-08 19:04:00.937124;100;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Veronica Panzarino;feminino;boleto
2024-05-08 19:37:55.671438;101;São Paulo;Lucas Pereira;Tablet Apple Ipad;Kristin Hall;feminino;pix
2024-05-09 20:41:58.603463;102;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Jacob Patterson;masculino;dinheiro
2024-05-09 20:46:00.416359;103;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Eduardo Anguiano;masculino;pix
2024-05-09 20:46:01.652940;104;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Ruben Gaitor;masculino;boleto
2024-05-10 14:05:56.602594;105;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Kathy Sells;feminino;dinheiro
2024-05-10 16:22:03.673403;106;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Victoria Saska;feminino;boleto
2024-05-10 17:20:01.084022;107;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Addie Carr;feminino;dinheiro
2024-05-10 18:22:58.675483;108;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Omar Vandercook;masculino;boleto
2024-05-10 21:05:03.171100;109;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Annie Clark;feminino;dinheiro
2024-05-11 13:04:55.549481;110;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Arlene Lang;feminino;cartão de crédito
2024-05-11 15:18:57.651817;111;São Paulo;Ana Oliveira;Smartwatch Garmin;Ruth Fields;feminino;pix
2024-05-11 17:48:00.463132;112;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Shannon Dingman;feminino;pix
2024-05-11 18:03:02.985446;113;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Anna Dennis;feminino;boleto
2024-05-11 18:25:01.732316;114;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Larry Bullock;masculino;boleto
2024-05-11 19:00:59.582794;115;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Alisa Jolly;feminino;boleto
2024-05-11 20:15:58.603062;116;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Irma Henderson;feminino;boleto
2024-05-11 20:28:01.149095;117;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;James Atherton;masculino;dinheiro
2024-05-11 21:36:55.296463;118;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Jennie Guerrero;feminino;cartão de crédito
2024-05-12 12:10:56.213645;119;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Stephen Nelson;masculino;dinheiro
2024-05-12 13:02:03.750658;120;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Scottie Sloat;masculino;pix
2024-05-12 16:37:02.017851;121;Porto Alegre;Mariana Gomes;Smartwatch Garmin;David Bellah;masculino;cartão de crédito
2024-05-12 17:07:55.339150;122;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;William Radford;masculino;dinheiro
2024-05-12 20:00:58.579706;123;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Bonny Harper;feminino;pix
2024-05-12 20:59:58.415006;124;São Paulo;Lucas Pereira;Tablet Apple Ipad;Chantel Davis;feminino;dinheiro
2024-05-13 11:45:04.738672;125;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Michael Strait;masculino;cartão de crédito
2024-05-13 12:34:00.556846;126;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Janice Dobkin;feminino;boleto
2024-05-13 12:39:03.958540;127;São Paulo;Lucas Pereira;Tablet Apple Ipad;Jack Abbot;masculino;boleto
2024-05-13 13:20:55.235054;128;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Brenda Reeves;feminino;boleto
2024-05-13 15:38:56.523907;129;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Harvey Hong;masculino;dinheiro
2024-05-13 16:59:59.147913;130;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Michelle Triggs;feminino;dinheiro
2024-05-13 17:17:01.962008;131;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Anthony Sardi;masculino;boleto
2024-05-14 17:18:56.234982;132;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Karen Stergios;feminino;dinheiro
2024-05-14 17:20:56.911575;133;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Natividad Godwin;feminino;pix
2024-05-14 20:58:06.436193;134;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Corey Remick;masculino;dinheiro
2024-05-14 22:02:58.905278;135;Florianópolis;Tiago Lima;Tablet Apple Ipad;William Cook;masculino;cartão de crédito
2024-05-15 12:26:56.306867;136;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Rita Hicks;feminino;cartão de crédito
2024-05-15 15:38:56.929700;137;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Carol Penrod;feminino;dinheiro
2024-05-15 15:47:55.956647;138;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Emily Pino;feminino;dinheiro
2024-05-15 19:17:03.365891;139;São Paulo;Ana Oliveira;Tablet Apple Ipad;Carl Lucas;masculino;dinheiro
2024-05-15 19:50:02.742028;140;Florianópolis;Tiago Lima;Tablet Apple Ipad;Ernest Gonzalez;masculino;dinheiro
2024-05-15 19:58:59.706043;141;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Mary Brawner;feminino;dinheiro
2024-05-15 20:47:02.868208;142;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Andrew Bixler;masculino;boleto
2024-05-15 21:32:55.174788;143;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Ann Garrett;feminino;boleto
2024-05-16 15:55:03.729814;144;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Jonathan Anderson;masculino;pix
2024-05-16 18:38:59.694638;145;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Catherine Bedard;feminino;cartão de crédito
2024-05-16 19:17:57.897705;146;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Sandra Stephens;feminino;dinheiro
2024-05-16 19:30:05.491998;147;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Rosa Mays;feminino;boleto
2024-05-17 12:06:04.119478;148;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Stacey Day;feminino;cartão de crédito
2024-05-17 13:09:54.879252;149;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Nancy Ward;feminino;boleto
2024-05-17 14:56:55.816017;150;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Deborah Day;feminino;dinheiro
2024-05-18 14:07:03.184930;151;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Raul White;masculino;cartão de crédito
2024-05-18 14:11:04.614062;152;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Yolanda Egan;feminino;boleto
2024-05-18 14:25:56.633598;153;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Jason Gritton;masculino;cartão de crédito
2024-05-18 15:11:58.557491;154;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Courtney Green;feminino;dinheiro
2024-05-18 17:34:00.906836;155;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Janet Montney;feminino;dinheiro
2024-05-18 17:34:06.430978;156;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Lois Hamilton;feminino;pix
2024-05-18 17:56:56.043609;157;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Stephen Burgess;masculino;cartão de crédito
2024-05-19 13:06:56.935840;158;São Paulo;Lucas Pereira;Smartwatch Garmin;George Tuohy;masculino;cartão de crédito
2024-05-19 13:53:57.587144;159;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Anne Lassiter;feminino;pix
2024-05-19 15:03:56.013203;160;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Cecilia Addie;feminino;dinheiro
2024-05-19 15:28:56.681240;161;Florianópolis;Gabriela Santos;Smartwatch Garmin;Carla Heredia;feminino;dinheiro
2024-05-19 16:09:58.748518;162;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Randy Hampshire;masculino;cartão de crédito
2024-05-19 16:32:57.459157;163;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Karen Levine;feminino;dinheiro
2024-05-19 18:02:59.848412;164;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Ruth Amigon;feminino;boleto
2024-05-19 18:28:58.526349;165;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Dawn James;feminino;pix
2024-05-19 19:33:02.185736;166;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Clara Curry;feminino;pix
2024-05-20 12:29:56.083766;167;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Helene Gainer;feminino;dinheiro
2024-05-20 13:23:56.122429;168;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Roger Gross;masculino;boleto
2024-05-20 15:27:56.202987;169;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Fred Nielsen;masculino;dinheiro
2024-05-20 17:39:55.297002;170;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Brooks Varos;masculino;pix
2024-05-20 18:17:55.131299;171;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Wayne Pierson;masculino;cartão de crédito
2024-05-20 20:10:02.222651;172;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Bobby Haley;masculino;boleto
2024-05-21 12:28:56.050120;173;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Deanna Hicks;feminino;boleto
2024-05-21 14:52:55.241898;174;São Paulo;Lucas Pereira;Tablet Apple Ipad;Valentin Gallagher;masculino;boleto
2024-05-21 18:10:57.158774;175;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Hannah Spears;feminino;boleto
2024-05-21 18:53:56.885416;176;Florianópolis;Tiago Lima;Tablet Apple Ipad;Ted Pinto;masculino;pix
2024-05-21 21:19:00.347480;177;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Ronald Gilchrist;masculino;cartão de crédito
2024-05-22 12:15:03.137954;178;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Mindy Warner;feminino;pix
2024-05-22 14:36:56.077463;179;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Charlotte Cantara;feminino;cartão de crédito
2024-05-22 14:42:02.331300;180;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Larry Tennill;masculino;pix
2024-05-22 16:09:59.475796;181;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Frances Smith;feminino;boleto
2024-05-22 21:01:02.630845;182;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Joseph Grau;masculino;cartão de crédito
2024-05-23 11:44:55.231639;183;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Antonio Budd;masculino;cartão de crédito
2024-05-23 12:33:06.090587;184;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Geraldine Hindman;feminino;dinheiro
2024-05-23 13:08:03.365622;185;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Joshua Robinson;masculino;pix
2024-05-23 14:19:04.570313;186;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Genevieve Petrucci;feminino;dinheiro
2024-05-23 16:16:59.925077;187;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Bradley Brown;masculino;boleto
2024-05-23 16:54:02.923923;188;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Scott Mulloy;masculino;dinheiro
2024-05-23 18:04:56.546021;189;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Phillip Frederick;masculino;pix
2024-05-23 18:31:03.756125;190;Florianópolis;Tiago Lima;Smartwatch Garmin;Crystal Hall;feminino;dinheiro
2024-05-23 18:41:04.868932;191;Florianópolis;Tiago Lima;Tablet Apple Ipad;Catherine Warmack;feminino;pix
2024-05-24 11:18:59.444776;192;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;James Caudillo;masculino;pix
2024-05-24 14:25:59.140820;193;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Julianna Higdon;feminino;boleto
2024-05-24 14:35:58.704042;194;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Jeff Barton;masculino;dinheiro
2024-05-24 17:21:56.365924;195;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;John Steele;masculino;pix
2024-05-24 18:04:57.530796;196;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Gil Sant;masculino;pix
2024-05-24 18:30:55.806806;197;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Judy Craig;feminino;boleto
2024-05-24 19:13:59.553266;198;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Ronnie Lawson;masculino;boleto
2024-05-24 20:21:58.675138;199;São Paulo;Ana Oliveira;Tablet Apple Ipad;Alfred Harris;masculino;boleto
2024-05-24 21:10:04.120370;200;São Paulo;Lucas Pereira;Smartwatch Garmin;Elizabeth Acquaviva;feminino;pix
2024-05-24 21:11:01.911781;201;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Cynthia Niederkorn;feminino;boleto
2024-05-25 11:16:00.311850;202;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Christy Boney;feminino;pix
2024-05-25 15:29:58.913307;203;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Angela Rivera;feminino;cartão de crédito
2024-05-25 15:57:54.630435;204;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Maria Boney;feminino;boleto
2024-05-25 19:25:05.711906;205;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Lucia Pham;feminino;dinheiro
2024-05-26 12:13:04.742380;206;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Gilbert Lee;masculino;pix
2024-05-26 17:06:05.444703;207;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Barbara Steakley;feminino;dinheiro
2024-05-26 17:08:03.365247;208;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Frances Fernandez;feminino;cartão de crédito
2024-05-26 17:53:05.558848;209;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Mickey Roman;masculino;cartão de crédito
2024-05-26 19:57:00.641736;210;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Heather Roney;feminino;cartão de crédito
2024-05-27 12:00:01.507558;211;Florianópolis;Tiago Lima;Smartwatch Garmin;Susan Bowles;feminino;pix
2024-05-27 14:49:02.142006;212;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Marvin Soehl;masculino;dinheiro
2024-05-27 17:02:54.679789;213;São Paulo;Lucas Pereira;Tablet Apple Ipad;Jerome Rivera;masculino;boleto
